Month,Borough,Equipment Type,Equipment Code,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN
1/1/21,Bronx,Elevator,EL135,6,4,2,0,225,0.965053763,119.6666667,124,0.989919355,122.75,124,0.964762545,717.7833333,744,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604
1/1/21,Queens,Elevator,EL437,5,2,3,0,80,1,124,124,0.967741935,120,124,0.969086022,721,744,FORESTHILLS-71AV-QBL-E/F/M/R,261,Forest Hills-71 Av - Station,261
1/1/21,Queens,Elevator,EL493X,0,0,0,0,N/A,0.928225806,115.1,124,0.904704301,112.1833333,124,0.921236559,685.4,744,HOWARDBEACH-JFKAIRPORT-RKY-A,198,Howard Beach-JFK Airport - Station,198
1/1/21,Brooklyn,Elevator,EL373,3,1,2,0,150,1,124,124,0.967741935,120,124,0.971348566,722.6833333,744,CHURCHAV-6AV-F/G,243,Church Av - Station,243
1/1/21,Manhattan,Elevator,EL109,0,0,0,0,254,,0,0,,0,0,,0,0,181ST-BWY7-1,301,181 St - Station,301
1/1/21,Queens,Elevator,EL431,5,3,2,0,186,0.95,117.8,124,0.970430108,120.3333333,124,0.970071685,721.7333333,744,JAMAICA-179ST-QBL-F,254,Jamaica-179 St - Station,254
1/1/21,Bronx,Elevator,EL191,3,1,2,0,73,1,124,124,1,124,124,0.980353943,729.3833333,744,KINGSBRIDGERD-CON-B/D,212,Kingsbridge Rd - Station,212
1/1/21,Manhattan,Elevator,EL743,4,3,1,1,4,0.99233871,123.05,124,1,124,124,0.978584229,728.0666667,744,CHAMBERSST-JAM-J/Z,105,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",622
1/1/21,Manhattan,Elevator,EL299,5,3,2,0,49,0.935483871,116,124,0.935483871,116,124,0.908803763,676.15,744,23ST-LEX-6,405,23 St - Station,405
1/1/21,Bronx,Elevator,EL182,1,1,0,0,165,0.998655914,123.8333333,124,1,124,124,0.991375448,737.5833333,744,GUNHILLRD-LWP-2/5,421,Gun Hill Rd - Station,421
