Month,Borough,Equipment Type,Equipment Code,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN,2021
1/1/21,Bronx,Elevator,EL135,6,4,2,0,225.0,0.965053763,119.6666667,124.0,0.989919355,122.75,124.0,0.964762545,717.7833333,744.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
1/1/21,Bronx,Elevator,EL134,4,4,0,0,225.0,0.952956989,118.1666667,124.0,0.95766129,118.75,124.0,0.945250896,703.2666667,744.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
1/1/21,Bronx,Elevator,EL131,5,5,0,0,225.0,0.997311828,123.6666667,124.0,1.0,124.0,124.0,0.975515233,725.7833333,744.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
1/1/21,Bronx,Elevator,EL133,1,1,0,0,225.0,1.0,124.0,124.0,1.0,124.0,124.0,0.992137097,738.15,744.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
1/1/21,Bronx,Elevator,EL132,4,3,1,0,225.0,0.998655914,123.8333333,124.0,0.967069892,119.9166667,124.0,0.977284946,727.1,744.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
2/1/21,Bronx,Elevator,EL135,3,2,1,1,226.0,0.962053571,107.75,112.0,1.0,112.0,112.0,0.970039683,651.8666667,672.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
2/1/21,Bronx,Elevator,EL132,3,1,2,0,226.0,0.928571429,104.0,112.0,0.936904762,104.9333333,112.0,0.920709325,618.7166667,672.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
2/1/21,Bronx,Elevator,EL133,1,1,0,0,226.0,0.998511905,111.8333333,112.0,1.0,112.0,112.0,0.990649802,665.7166667,672.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
2/1/21,Bronx,Elevator,EL134,1,1,0,0,226.0,1.0,112.0,112.0,1.0,112.0,112.0,0.99109623,666.0166667,672.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
2/1/21,Bronx,Elevator,EL131,5,1,4,2,226.0,0.959077381,107.4166667,112.0,0.886011905,99.23333333,112.0,0.920411706,618.5166667,672.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
3/1/21,Bronx,Elevator,EL131,4,3,1,1,227.0,0.987768817,122.4833333,124.0,0.967741935,120.0,124.0,0.968772401,720.7666667,744.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
3/1/21,Bronx,Elevator,EL132,5,3,2,1,227.0,0.967741935,120.0,124.0,0.942876344,116.9166667,124.0,0.956339606,711.5166667,744.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
3/1/21,Bronx,Elevator,EL135,2,1,1,1,227.0,1.0,124.0,124.0,0.977822581,121.25,124.0,0.989583333,736.25,744.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
3/1/21,Bronx,Elevator,EL133,2,1,1,0,227.0,1.0,124.0,124.0,1.0,124.0,124.0,0.991621864,737.7666667,744.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
3/1/21,Bronx,Elevator,EL134,2,2,0,0,227.0,0.997311828,123.6666667,124.0,1.0,124.0,124.0,0.985506272,733.2166667,744.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
4/1/21,Bronx,Elevator,EL134,2,2,0,0,228.0,1.0,120.0,120.0,1.0,120.0,120.0,0.988726852,711.8833333,720.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
4/1/21,Bronx,Elevator,EL131,8,5,3,0,228.0,0.95875,115.05,120.0,0.96,115.2,120.0,0.963634259,693.8166667,720.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
4/1/21,Bronx,Elevator,EL135,1,1,0,0,228.0,1.0,120.0,120.0,1.0,120.0,120.0,0.99025463,712.9833333,720.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
4/1/21,Bronx,Elevator,EL133,3,2,1,0,228.0,0.966666667,116.0,120.0,0.984722222,118.1666667,120.0,0.960763889,691.75,720.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604,"12,374"
